Data Year,Utility Number,Utility Name,State,BA Code,Commercial Annual Savings (MWh),Industrial Annual Savings (MWh),Total Annual Savings (MWh),Commercial Peak Demand Annual Savings (MW),Industrial Peak Demand Annual Savings (MW),Total Peak Demand Annual Savings (MW),Commercial Cum Savings (MWh),Industrial Cum Savings (MWh),Total Cum Savings (MWh),Commercial Cum Peak Demand Savings (MWh),Industrial Cum Peak Demand Savings (MWh),Total Cum Peak Demand Savings (MWh),Commercial Annual Incent Cost (Thousand $),Industrial Annual Incent Cost (Thousand $),Total Annual Incent Cost (Thousand $),Commercial Non-Incentive Annual Costs (Thousand $),Industrial Non-Incentive Annual Costs (Thousand $),Total Non-Incentive Annual Costs (Thousand $),Commercial Incentive Cum Costs (Thousand $),Industrial Incentive Cum Costs (Thousand $),Total Incentive Cum Costs (Thousand $),Commercial Non-Incentive Cum Costs (Thousand $),Industrial Non-Incentive Cum Costs (Thousand $),Total Non-Incentive Cum Costs (Thousand $),Commercial Weighted Avg Life (Yrs),Industrial Weighted Avg Life (Yrs)
2023,14610,Orlando Utilities Comm,FL,FMPP,"8,226",.,"28,236",1.5,.,2.3,"123,559",.,"172,800",1.5,.,2.3,413,.,"1,197",324,.,"1,394",413,.,"1,197",324,.,"1,394",15.020,.
2023,14624,PUD No 2 of Grant County,WA,GCPD,735,.,813,0.1,.,0.1,"8,685",.,"11,040",0.1,.,0.1,40,.,63,32,.,60,42,.,66,32,.,60,12.855,.
2023,14668,Peninsula Light Company,WA,BPAT,469,.,"1,577",.,.,0.5,"5,631",.,"26,692",.,.,0.5,45,.,592,24,.,200,45,.,592,24,.,200,12.000,.
2023,14711,Pennsylvania Electric Co,PA,PJM,"26,515","26,100","79,121",5.0,3.9,11.9,"331,831","333,580","927,003",5.0,3.9,11.9,"6,204","1,878","13,665","2,158","1,327","5,998","6,204","1,878","13,665","2,158","1,327","5,998",12.515,12.781
2023,14715,PPL Electric Utilities Corp,PA,PJM,"107,991","33,969","203,117",18.3,5.2,31.2,"1,511,877","475,573","2,537,859",27.0,14.2,50.0,"14,472","3,909","29,244","7,164","3,404","20,417","14,472","3,909","29,244","7,164","3,404","20,417",14.000,14.000
2023,14716,Pennsylvania Power Co,PA,PJM,"6,520","5,539","20,950",1.1,0.9,3.4,"85,056","78,684","264,134",1.1,0.9,3.4,"1,886",341,"4,436",605,310,"2,010","1,886",341,"4,436",605,310,"2,010",13.045,14.207
2023,14717,Pee Dee Electric Member Corp,NC,CPLE,.,.,80,.,.,5.0,.,.,184,.,.,5.0,.,.,7,.,.,.,.,.,7,.,.,.,.,.
2023,14940,PECO Energy Co,PA,PJM,"192,752",.,"302,048",36.7,.,55.7,"1,753,686",.,"2,788,888",31.0,.,66.0,"33,987",.,"49,729",21,.,33,"56,043",.,"76,312",37,.,51,10.000,.
2023,15023,Piedmont Electric Member Corp,NC,DUK,290,.,"1,321",1.0,.,2.0,"4,123",.,"5,839",1.0,.,2.0,9,.,64,2,.,15,9,.,64,2,.,15,17.000,.
2023,15231,City of Port Angeles - (WA),WA,BPAT,256,.,539,0.2,.,0.4,"2,560",.,"5,389",0.2,.,0.4,44,.,168,.,.,.,44,.,168,.,.,.,10.000,.
2023,15257,"Poudre Valley REA, Inc",CO,WACM,"1,880",0,"4,614",0.7,0.0,1.0,"26,337",0,"67,165",0.7,0.0,1.0,109,0,751,0,0,0,109,0,751,0,0,0,16.510,0.000
2023,15263,The Potomac Edison Company,MD,PJM,"57,500","28,378","142,457",10.1,3.8,22.9,"791,485","388,412","1,473,816",10.1,3.8,22.9,"16,053","8,270","33,537","22,369","11,523","48,358","16,053","8,270","33,537","22,369","11,523","48,358",13.765,13.678
2023,15270,Potomac Electric Power Co,MD,PJM,"98,756",.,"178,989",20.1,.,31.9,"1,128,526",.,"1,453,091",20.1,.,31.9,"27,087",.,"43,102","14,582",.,"22,592","27,087",.,"43,102","14,582",.,"22,592",11.400,.
2023,15296,New York Power Authority,NY,NYIS,"19,206",0,"19,206",1.2,0.0,1.2,"289,589",0,"289,589",1.2,0.0,1.2,0,0,0,78,0,78,0,0,0,78,0,78,15.000,.
2023,15340,Presque Isle Elec & Gas Coop,MI,MISO,560,.,"1,285",0.1,.,0.3,"6,925",.,"14,959",0.1,.,0.3,56,.,428,60,.,214,56,.,428,60,.,214,12.377,.
2023,15344,Polk-Burnett Electric Coop,WI,MISO,181,0,721,0.0,0.0,0.1,"2,716",0,"13,108",0.0,0.0,0.1,12,0,230,0,0,0,12,0,230,0,0,0,15.006,0.000
2023,15419,PUD No 3 of Mason County,WA,BPAT,509,107,"1,732",0.5,0.1,1.7,"6,527","1,279","29,661",0.5,0.1,1.7,94,10,570,0,0,0,94,10,570,0,0,0,12.000,12.000
2023,15466,Public Service Co of Colorado,CO,PSCO,"311,016","60,112","614,178",69.7,10.2,132.7,"7,105,433","340,519","10,515,605",69.7,10.2,132.7,"34,428","6,844","61,255","24,119","1,633","45,409","34,428","6,844","61,255","24,119","1,633","45,409",22.846,5.665
2023,15470,"Duke Energy Indiana, LLC",IN,MISO,"79,445",0,"197,306",12.4,0.0,29.7,"1,104,412",0,"1,533,745",12.4,0.0,29.7,"10,454",0,"12,424","7,015",0,"16,506","10,454",0,"12,424","7,015",0,"16,506",13.900,0.000
2023,15472,Public Service Co of NH,NH,ISNE,"54,973",.,"63,798",8.3,.,9.8,"485,924",.,"621,160",8.0,.,9.2,"13,810",.,"31,294","3,051",.,"6,148","13,810",.,"31,294","3,051",.,"6,148",8.840,.
2023,15473,Public Service Co of NM,NM,PNM,"19,678","11,295","91,544",3.8,1.9,15.9,"177,105","91,291","790,109",3.0,1.9,14.6,"3,257","1,648","12,790","2,580","1,563","10,654","3,257","1,648","12,790","2,580","1,563","10,654",9.000,8.100
2023,15474,Public Service Co of Oklahoma,OK,SWPP,"37,265",0,"969,376",64.9,0.0,70.1,"991,372",0,"2,514,223",64.9,0.0,70.1,"9,219",0,"20,953","4,722",0,"12,314","9,219",0,"20,953","4,722",0,"12,314",26.600,0.000
2023,15477,Public Service Elec & Gas Co,NJ,PJM,"490,981",0,"772,848",78.8,0.0,99.5,"6,499,579",.,"9,593,948",78.8,.,99.5,"178,735",.,"372,401","72,647",.,"139,832","178,735",.,"372,401","72,647",.,"139,832",13.240,0.000
2023,15500,Puget Sound Energy Inc,WA,PSEI,"142,635","20,144","258,108",16.4,2.5,38.2,"1,768,898","231,413","3,103,773",16.4,2.5,38.2,"36,262","4,029","71,398","13,195","1,466","28,988","36,262","4,029","71,398","13,195","1,466","28,988",12.400,11.490
2023,15671,Randolph Electric Member Corp,NC,CPLE,43,.,43,.,.,.,"1,169",.,"1,169",.,.,.,6,.,6,.,.,.,6,.,6,.,.,.,15.000,.
2023,15700,Rayle Electric Membership Corp,GA,SOCO,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,48,.,.,.,.,.
2023,15748,Town of Reading - (MA),MA,ISNE,0,0,242,0.0,0.0,0.1,0,0,"2,444",0.0,0.0,0.1,0,0,35,0,0,3,0,0,35,0,0,3,.,.
2023,15783,City of Redding - (CA),CA,,0,0,6,0.0,0.0,0.0,0,0,92,0.0,0.0,0.0,.,.,309,.,.,117,.,.,309,.,.,117,0.000,0.000
2023,15979,City of Richland - (WA),WA,BPAT,"3,153","3,123","7,626",0.6,0.6,1.4,"32,261","27,579","88,852",0.6,0.6,1.4,250,470,"1,487",.,.,.,250,470,"1,487",.,.,.,10.560,8.830
2023,16060,Riverland Energy Cooperative,WI,MISO,"1,090",.,"1,815",0.2,.,0.2,"15,340",.,"26,612",0.2,.,0.2,26,.,105,0,.,0,26,.,105,0,.,0,14.074,.
2023,16088,City of Riverside - (CA),CA,CISO,"6,293",.,"10,277",0.7,.,1.2,"64,776",.,"156,509",0.7,.,1.2,"1,939",.,"3,122",.,.,.,"1,939",.,"3,122",.,.,.,10.290,.
2023,16101,Roanoke Electric Member Corp,NC,PJM,.,.,149,.,.,0.0,.,.,"1,788",.,.,0.0,.,.,0,.,.,0,.,.,0,.,.,0,.,.
2023,16181,Rochester Public Utilities,MN,MISO,"9,905","3,399","17,985",1.5,0.3,2.6,"131,783","62,201","231,291",1.5,0.3,2.6,857,160,"1,772",226,22,572,857,160,"1,772",226,22,572,10.000,10.000
2023,16183,Rochester Gas & Electric Corp,NY,NYIS,"32,169",.,"87,083",3.7,.,9.9,"379,587",.,"985,757",3.7,.,9.9,"4,185",.,"10,668","1,086",.,"3,382","4,185",.,"10,668","1,086",.,"3,382",15.000,.
2023,16213,Rockland Electric Co,NJ,PJM,"6,877",0,"15,885",1.6,0.0,2.0,"98,705",0,"182,200",22.4,0.0,28.3,"2,223",0,"2,806","2,298",0,"3,802","2,223",0,"2,806","2,298",0,"3,802",14.600,0.000
2023,16295,City of Roseville - (CA),CA,BANC,"2,854",424,"21,093",0.8,0.0,1.0,"32,103","8,483","109,550",0.8,0.0,1.0,705,92,"3,153",410,87,"2,029",705,92,"3,153",410,87,"2,029",11.502,20.000
2023,16534,Sacramento Municipal Util Dist,CA,BANC,"21,838",0,"99,965",3.3,0.0,15.0,"254,972",0,"1,389,841",3.3,0.0,15.0,"9,224",.,"23,748","6,824",.,"23,111","9,224",.,"23,748","6,824",.,"23,111",13.007,.
2023,16555,Salem Electric - (OR),OR,BPAT,"1,088",.,"1,619",6.8,.,11.1,"14,688",.,"26,503",6.8,.,11.1,155,.,487,41,.,180,155,.,487,41,.,180,13.500,.
2023,16572,Salt River Project,AZ,SRP,"159,901",.,"605,506",29.0,.,144.0,"2,641,688",.,"5,409,897",29.0,.,144.0,"13,460",.,"29,305","7,785",.,"15,881","13,460",.,"29,305","7,785",.,"15,881",16.520,.
2023,16603,"San Luis Valley R E C, Inc",CO,WACM,.,80,211,.,0.0,0.0,.,956,"2,804",.,0.0,0.0,.,3,36,.,.,.,.,3,36,.,.,.,.,12.000
2023,16604,City of San Antonio - (TX),TX,ERCO,"93,528",0,"161,034",17.8,0.0,36.1,"1,003,063",0,"2,044,410",17.8,0.0,36.1,"11,930",0,"41,016",448,0,"3,243","11,930",0,"41,016",448,0,"3,243",10.720,0.000
2023,16606,"Santee Electric Coop, Inc",SC,SC,.,.,213,.,.,.,.,.,"2,556",.,.,.,.,.,.,.,.,14,.,.,.,.,.,173,.,.
2023,16609,San Diego Gas & Electric Co,CA,CISO,"252,999","31,154","524,256",42.7,4.4,99.7,"3,452,832","494,141","6,498,996",25.2,2.6,58.9,"9,866",44,"14,933","25,869",115,"39,156","9,866",44,"14,933","25,869",115,"39,156",13.648,15.861
2023,16612,City & County of San Francisco,CA,CISO,487,.,487,0.1,.,0.1,"7,299",.,"7,299",0.1,.,0.1,117,.,117,38,.,38,117,.,117,38,.,38,15.000,.
2023,16622,"San Miguel Power Assn, Inc",CO,WACM,53,.,"1,218",0.0,.,0.1,"1,514",.,"3,592",0.0,.,0.1,1,.,17,.,.,.,1,.,17,.,.,.,12.000,.
2023,16655,City of Santa Clara - (CA),CA,CISO,"15,409",94,"15,510",2.2,0.0,2.2,"207,956","1,130","209,129",2.0,0.0,2.0,"1,188",16,"1,205","1,952",2,"2,351","1,188",16,"1,205","1,952",2,"2,351",14.984,12.000
2023,16674,Satilla Rural Elec Member Corporation,GA,SOCO,.,.,15,.,.,0.1,.,.,"1,143",.,.,0.1,.,.,1,.,.,4,.,.,39,.,.,51,.,.
2023,16740,Scenic Rivers Energy Coop,WI,MISO,20,1,352,0.0,0.0,0.6,195,29,"5,514",0.0,0.0,0.6,1,1,70,0,3,51,1,1,70,0,3,51,9.759,28.954
2023,16865,Sawnee Electric Membership Corporation,GA,SOCO,68,0,987,0.0,0.0,1.0,276,0,"9,284",0.0,0.0,1.0,3,0,76,0,.,77,3,0,76,0,.,77,15.000,0.000
2023,16868,City of Seattle - (WA),WA,SCL,"44,485","5,267","68,286",8.2,1.0,12.4,"535,023","58,616","736,793",6.7,0.9,10.0,"6,439",28,"9,035","13,191",437,"20,159","6,439",28,"9,035","13,191",437,"20,159",12.027,11.129
2023,16971,Shakopee Public Utilities Comm,MN,MISO,349,"5,438","7,137",0.1,1.0,1.3,"2,790","40,711","55,162",0.1,0.9,1.2,25,454,765,0,90,120,25,454,765,0,90,120,8.000,8.000
2023,17166,Sierra Pacific Power Co,NV,NEVP,"35,390",.,"50,980",4.8,.,9.1,"447,501",.,"475,869",3.9,.,7.1,"1,597",.,"3,953","2,800",.,"6,350","1,597",.,"3,953","2,800",.,"6,350",12.600,.
2023,17252,Singing River Elec Cooperative,MS,MISO,.,.,400,.,.,0.2,.,.,"6,371",.,.,0.2,.,.,86,.,.,122,.,.,86,.,.,122,.,.
2023,17267,Sioux Valley SW Elec Coop,MN,SWPP,53,.,204,0.2,.,0.2,924,.,"4,215",0.2,.,0.2,3,.,24,0,.,0,3,.,72,0,.,0,22.000,.
2023,17267,Sioux Valley SW Elec Coop,SD,SWPP,159,.,"1,258",0.0,.,0.1,"2,772",.,"26,776",0.0,.,0.1,9,.,250,0,.,0,9,.,627,0,.,0,22.000,.
2023,17470,PUD No 1 of Snohomish County,WA,BPAT,"14,203","22,169","45,786",3.2,5.1,10.5,"160,118","231,842","512,605",2.0,3.4,7.6,"3,041","3,235","9,825","1,114","1,185","3,599","3,041","3,235","9,855","1,114","1,185","3,599",11.274,10.458
2023,17539,"Dominion Energy South Carolina, Inc",SC,SCEG,"70,903","6,790","109,120",16.1,1.5,26.3,"850,832","88,275","1,272,233",5.0,0.7,13.7,"7,903",757,"19,187","4,270",409,"7,338","7,903",757,"19,187","4,270",409,"7,338",12.000,13.000
2023,17543,South Carolina Public Service Authority,SC,SC,"4,134",.,"7,603",0.8,.,1.8,"49,480",.,"118,906",0.8,.,1.8,315,.,"1,687",289,.,847,315,.,"1,687",289,.,847,11.968,.
2023,17572,South River Elec Member Corp,NC,CPLE,.,.,"1,075",.,.,0.3,.,.,"15,626",.,.,0.3,.,.,4,.,.,.,.,.,150,.,.,.,.,.
2023,17599,Southeastern Indiana R E M C,IN,MISO,128,.,388,0.0,.,0.1,"4,542",.,"20,069",0.0,.,0.0,8,.,36,0,.,0,230,.,"1,529",0,.,0,2.000,.
2023,17609,Southern California Edison Co,CA,CISO,"88,133","24,801","217,393",3.0,2.9,19.3,"845,686","125,312","1,177,033",3.0,2.9,19.3,"11,657",829,"22,703","106,954","4,990","137,325","11,657",829,"22,703","106,954","4,990","137,325",9.600,5.100
2023,17612,Bear Valley Electric Service,CA,CISO,.,.,33,.,.,0.0,.,.,380,.,.,0.0,.,.,88,.,.,20,.,.,88,.,.,20,.,.
2023,17633,Southern Indiana Gas & Elec Co,IN,MISO,"20,512","9,653","40,301",3.8,1.8,8.0,"254,457","119,744","460,688",3.8,1.8,8.0,"1,853",872,"3,884","1,918",903,"5,419","1,853",872,"3,884","1,918",903,"5,419",12.400,12.400
2023,17637,Southern Maryland Elec Coop Inc,MD,PJM,"20,692",.,"75,042",3.4,.,20.8,"232,639",.,"524,784",3.4,.,20.8,"4,187",.,"12,210","2,213",.,"9,239","4,187",.,"12,210","24,786",.,"62,726",11.200,.
2023,17642,Southern Public Power District,NE,SWPP,81,248,710,0.0,0.0,0.1,894,"2,538","9,435",0.0,0.0,0.1,4,7,132,1,5,25,4,7,132,1,5,25,11.000,10.214
2023,17647,Southern Pine Electric Cooperative,MS,MISO,.,.,584,.,.,0.3,.,.,"10,339",.,.,0.3,.,.,94,.,.,1,.,.,94,.,.,1,.,.
2023,17698,Southwestern Electric Power Co,AR,SWPP,"21,570",.,"38,667",11.4,.,15.3,"336,670",.,"581,996",11.4,.,15.3,"2,333",.,"5,532","2,245",.,"4,576","2,333",.,"5,532","2,245",.,"4,576",15.600,.
2023,17698,Southwestern Electric Power Co,LA,SWPP,"4,373",.,"16,472",1.6,.,4.4,"109,606",.,"256,399",1.6,.,4.4,"1,162",.,"3,096",263,.,696,"1,162",.,"3,096",263,.,696,25.060,.
2023,17698,Southwestern Electric Power Co,TX,SWPP,"8,925",.,"13,361",6.2,.,8.6,"153,915",.,"246,071",6.2,.,8.6,"1,629",.,"3,471",231,.,498,"1,629",.,"3,471",231,.,498,17.200,.
2023,17718,Southwestern Public Service Co,NM,SWPP,"8,184","36,846","77,147",1.2,5.5,12.1,"139,025","574,583","1,267,410",1.2,5.5,12.1,615,"2,810","6,393","5,058","7,140","16,424",615,"2,810","6,393","5,058","7,140","16,424",16.987,15.594
2023,17718,Southwestern Public Service Co,TX,SWPP,"17,049",.,"25,397",2.1,.,4.7,"236,157",.,"338,637",2.1,.,4.7,"1,792",.,"4,243",32,.,142,"1,792",.,"4,243",87,.,267,13.851,.
2023,17828,City of Springfield - (IL),IL,MISO,"1,949",.,"2,357",0.5,.,0.9,"29,241",.,"35,169",0.5,.,0.9,88,.,178,58,.,142,88,.,178,58,.,142,15.000,.
2023,17832,Snapping Shoals El Member Corp,GA,SOCO,"2,679","2,014","20,208",0.8,0.6,5.4,"38,004","62,147","353,222",0.7,0.6,5.1,2,2,62,4,1,108,16,11,"2,905",230,170,"4,101",25.000,25.000
2023,17833,City Utilities of Springfield - (MO),MO,SWPP,475,0,"1,112",0.1,0.0,2.1,"4,752",0,"12,852",0.1,0.0,2.1,47,0,455,0,0,96,47,0,455,0,0,96,12.000,0.000
2023,17839,City of Springfield - (OR),OR,BPAT,573,230,"1,561",0.1,0.0,0.5,"7,193","2,689","21,888",0.1,0.0,0.5,118,32,628,137,55,373,118,32,628,137,55,373,12.564,11.704
2023,17896,City of Shasta Lake - (CA),CA,BANC,13,0,210,0.0,0.0,0.0,161,0,"2,063",0.0,0.0,0.0,12,0,138,1,0,56,12,0,138,1,0,56,12.000,0.000
2023,18087,Town of Sterling - (MA),MA,ISNE,0,0,0,0.0,0.0,0.0,.,.,0,.,.,0.0,0,0,1,0,0,7,.,.,1,.,.,7,.,.
2023,18252,City of Sturgis - (MI),MI,PJM,707,.,"1,045",0.1,.,0.1,"11,438",.,"12,224",0.1,.,0.1,102,.,142,72,.,97,102,.,142,72,.,97,17.270,.
2023,18280,Sulphur Springs Valley E C Inc,AZ,WALC,.,349,516,.,3.4,8.5,.,"3,490","5,158",.,12.8,14.1,.,0,57,.,10,14,.,0,57,.,10,14,.,10.000
2023,18304,"Sumter Electric Coop, Inc",FL,SEC,.,.,189,.,.,0.0,.,.,"2,453",.,.,0.0,.,.,.,.,.,362,.,.,.,.,.,362,.,.
2023,18339,Surry-Yadkin Elec Member Corp,NC,DUK,.,.,154,.,.,2.8,.,.,"41,979",.,.,2.7,.,.,12,.,.,0,.,.,206,.,.,0,.,.
2023,18429,City of Tacoma - (WA),WA,TPWR,"9,679","4,798","17,543",0.0,0.0,0.0,"9,679","4,798","17,543",.,.,.,"1,210",586,"3,665",32,16,683,"1,210",586,"3,665",32,16,683,1.000,1.000
2023,18445,City of Tallahassee - (FL),FL,TAL,199,.,"7,315",0.1,.,1.3,"3,578",.,"98,720",0.1,.,1.3,43,.,"1,018",41,.,967,43,.,"1,018",41,.,967,18.000,.
2023,18449,"Talquin Electric Coop, Inc",FL,SEC,0,0,"1,004",0.0,0.0,0.0,0,0,"5,854",0.0,0.0,0.0,.,.,.,.,.,1,.,.,.,.,.,1,0.000,0.000
2023,18454,Tampa Electric Co,FL,TEC,"30,056","3,340","60,876",3.0,0.3,10.4,"522,556","58,062","1,149,907",4.6,0.5,11.7,"27,798","3,089","33,905","1,408",156,"5,710","27,798","3,089","33,905","1,408",156,"5,710",20.000,20.000
2023,18488,City of Taunton,MA,ISNE,.,.,547,.,.,0.2,.,.,547,.,.,0.2,.,.,350,.,.,61,.,.,350,.,.,61,.,.
2023,18498,Taylor County Rural E C C,KY,PJM,.,.,8,.,.,0.4,.,.,192,.,.,0.4,.,.,1,.,.,.,.,.,1,.,.,.,.,.
2023,18642,Tennessee Valley Authority,AL,TVA,"5,939","7,504","14,630",0.5,0.7,1.5,"77,209","102,835","195,865",0.5,0.7,1.5,"1,338",289,"1,728",162,551,"1,845","1,338",289,"1,728",162,551,"1,845",13.000,14.000
2023,18642,Tennessee Valley Authority,GA,TVA,"1,505",384,"2,377",0.2,0.0,0.3,"20,805","5,754","31,650",0.2,0.0,0.3,167,38,306,44,0,860,167,38,306,44,0,860,14.000,15.000
2023,18642,Tennessee Valley Authority,KY,TVA,"2,729","1,432","4,587",0.2,0.0,0.3,"24,321","7,160","36,317",0.2,0.0,0.3,953,0,984,104,554,"1,428",953,0,984,104,554,"1,428",9.000,5.000
2023,18642,Tennessee Valley Authority,MS,TVA,"8,016","6,651","15,397",0.7,0.6,1.5,"113,355","79,249","201,007",0.7,0.6,1.5,"1,075",213,"1,330",257,905,"1,954","1,075",213,"1,330",257,905,"1,954",14.000,12.000
2023,18642,Tennessee Valley Authority,NC,TVA,486,0,564,0.0,0.0,0.0,"3,176",0,"3,932",0.0,0.0,0.0,40,0,48,8,0,71,40,0,48,8,0,71,7.000,0.000
2023,18642,Tennessee Valley Authority,TN,TVA,"61,145","23,401","96,279",5.0,2.7,10.7,"839,476","346,359","1,322,897",5.0,2.7,10.7,"5,426","1,032","6,996","2,354",667,"21,552","5,426","1,032","6,996","2,354",667,"21,552",14.000,15.000
2023,18642,Tennessee Valley Authority,VA,TVA,56,0,63,0.0,0.0,0.0,838,0,915,0.0,0.0,0.0,2,0,2,2,0,4,2,0,2,2,0,4,15.000,0.000
2023,18917,Tillamook Peoples Utility Dist,OR,BPAT,337,"1,202","2,019",0.0,0.1,0.7,"4,612","12,023","22,943",0.0,0.1,0.7,68,268,649,43,170,411,68,268,649,43,170,411,13.570,10.430
2023,18956,Tri-County Elec Member Corp (GA),GA,SOCO,0,0,44,0.0,0.0,0.0,0,0,44,0.0,0.0,0.0,0,0,3,0,0,0,0,0,3,0,0,0,0.000,0.000
2023,18997,The Toledo Edison Co,OH,PJM,"1,061",15,"3,370",0.2,0.0,0.5,"8,765",181,"29,700",0.2,0.0,0.5,57,1,"1,193",73,62,820,57,1,"1,193",73,62,820,8.259,12.000
2023,19125,City of Traverse City - (MI),MI,MISO,445,0,562,0.0,0.0,0.0,"4,892",0,"6,699",0.0,0.0,0.0,34,0,61,21,0,42,34,0,61,21,0,42,10.430,.
2023,19157,MiEnergy Cooperative,IA,MISO,208,33,"1,745",0.0,0.0,0.2,"3,139",433,"25,173",0.0,0.0,0.2,15,0,138,2,0,17,15,0,138,2,0,17,15.069,13.250
2023,19157,MiEnergy Cooperative,MN,MISO,468,73,"3,919",0.1,0.0,0.5,"7,048",972,"56,532",0.1,0.0,0.5,34,1,309,4,0,38,34,1,309,4,0,38,15.069,13.250
2023,19161,"Tri-County Electric Coop, Inc (FL)",FL,SEC,0,0,104,0.0,0.0,0.0,0,0,474,0.0,0.0,0.0,.,.,.,.,.,45,.,.,.,.,.,45,0.000,0.000
2023,19189,Trico Electric Cooperative Inc,AZ,WALC,.,.,248,.,.,0.3,.,.,"1,169",.,.,0.3,.,.,47,.,.,3,.,.,47,.,.,3,.,.
2023,19281,Turlock Irrigation District,CA,TIDC,"2,732","3,434","7,116",0.1,0.5,1.2,"40,584","51,505","101,316",0.1,0.5,1.2,560,357,"1,379",174,209,423,560,357,"1,379",174,209,423,15.106,15.000
2023,19325,Umatilla Electric Coop Assn,OR,BPAT,524,"20,250","20,931",0.0,1.5,1.6,"5,211","147,532","156,399",0.0,1.5,1.6,115,858,"1,118",5,198,204,115,858,"1,118",5,198,204,16.000,7.286
2023,19390,"UGI Utilities, Inc",PA,PJM,613,"3,718","6,143",0.2,0.7,1.0,"8,580","52,045","85,995",0.2,0.7,1.0,43,183,471,121,350,710,43,183,471,121,350,710,14.000,14.000
2023,19396,Tri-County Electric Coop (MI),MI,MISO,0,843,"1,216",0.0,0.2,0.3,0,"11,459","15,075",0.0,0.2,0.3,0,53,210,0,73,228,0,53,210,0,73,228,0.000,9.200
2023,19435,Union Electric Membership Corp - (NC),NC,DUK,.,.,"3,539",.,.,.,.,.,"12,959",.,.,.,.,.,3,.,.,259,.,.,3,.,.,259,.,.
2023,19436,Union Electric Co - (MO),MO,MISO,"96,014","13,871","178,267",30.6,4.4,68.7,"1,389,853","200,787","2,454,348",21.5,3.1,40.8,"14,226","2,055","35,366","5,946",859,"21,403","14,226","2,055","35,366","5,946",859,"21,403",14.760,14.179
2023,19446,Duke Energy Kentucky,KY,PJM,"10,542",.,"15,081",1.4,.,2.4,"146,491",.,"178,653",1.4,.,2.4,723,.,"1,280",722,.,"2,007",723,.,"1,280",722,.,"2,007",13.897,.
2023,19490,United Electric Coop Service Inc - (TX),TX,ERCO,280,.,"20,651",0.0,.,2.9,"4,128",.,"261,000",0.0,.,2.9,7,.,747,.,.,207,7,.,747,.,.,207,14.770,.
2023,19497,United Illuminating Co,CT,ISNE,"25,367","5,140","33,201",4.1,0.7,7.2,"183,722","59,482","263,455",4.1,0.7,7.2,"5,042","8,304","28,127","1,334","1,657","5,466","5,042","8,304","28,127","1,334","1,657","5,466",7.243,11.571
2023,19499,"United Power, Inc",CO,WACM,"3,912",0,"5,834",0.7,0.0,0.9,"47,326",0,"75,926",0.7,0.0,0.9,242,0,630,.,.,.,242,0,630,.,.,.,12.770,.
2023,19545,"Black Hills Power, Inc.",SD,WACM,460,0,484,0.1,0.0,0.1,"6,431",0,"6,746",0.1,0.0,0.1,84,0,95,34,0,36,84,0,95,34,0,36,13.973,0.000
2023,19578,Upper Peninsula Power Company,MI,MISO,"3,533","2,423","18,703",0.4,0.0,2.4,"43,558","33,854","168,166",0.4,0.0,2.4,276,61,901,828,184,"2,702",276,61,901,828,184,"2,702",12.330,13.970
2023,19728,"UNS Electric, Inc",AZ,TEPC,"1,586","6,028","39,110",5.1,0.8,12.0,"15,656","35,046","541,772",5.1,0.8,12.0,239,169,"1,896",108,77,"1,001",239,169,"1,896",108,77,"1,001",9.870,5.810
2023,19790,Verendrye Electric Coop Inc,ND,MISO,162,0,229,0.4,0.0,0.6,"1,623",0,"2,291",0.4,0.0,0.6,18,0,30,18,0,30,18,0,30,18,0,30,10.000,0.000
2023,19798,City of Vernon,CA,CISO,"3,029",.,"3,029",0.5,.,0.5,"40,528",.,"40,528",0.5,.,0.5,717,.,717,.,.,.,717,.,717,.,.,.,12.000,.
2023,19806,"Victoria Electric Coop, Inc",TX,ERCO,.,.,2,.,.,0.0,.,.,23,.,.,0.0,.,.,1,.,.,0,.,.,1,.,.,0,.,.
2023,19876,Virginia Electric & Power Co,NC,PJM,"3,078",0,"3,729",0.5,0.0,0.6,"32,005",0,"37,737",0.5,0.0,0.6,453,0,693,510,0,975,453,0,693,510,0,975,10.400,0.000
2023,19876,Virginia Electric & Power Co,VA,PJM,"130,265",0,"196,783",29.0,0.0,35.7,"1,434,354",0,"1,973,543",29.0,0.0,35.7,"20,137",0,"45,153","13,951",0,"32,316","20,137",0,"45,153","13,951",0,"32,316",11.000,0.000
2023,19981,Wake Electric Membership Corp,NC,CPLE,.,.,"1,175",.,.,1.0,.,.,"1,229",.,.,1.0,.,.,0,.,.,0,.,.,0,.,.,0,.,.
2023,20038,Town of Wallingford - (CT),CT,ISNE,656,522,"1,508",0.2,0.1,0.4,"8,538","6,780","20,108",0.2,0.1,0.4,338,113,"1,126",37,12,124,338,113,"1,126",37,12,124,13.010,13.000
2023,20169,Avista Corp,ID,AVA,"14,049","1,281","17,796",246.7,22.5,312.5,"267,125","52,412","390,464",246.7,22.5,312.5,"4,514",255,"5,831",991,56,"1,685","4,514",255,"5,831",991,56,"1,685",11.410,14.375
2023,20169,Avista Corp,WA,AVA,"45,833","2,525","53,807",804.9,44.3,945.0,"121,627","8,966","341,184",804.9,44.3,945.0,"14,636",146,"17,334","1,829",20,"3,621","14,636",146,"17,334","1,829",20,"3,621",11.606,13.385
